Country,Tests_total,Date,Source,SourceDate,Remarks
Bahrain,9201,12 March 2020,"Ministry of Health, COVID-19 Latest Updates, Dashboard","12 March, 19.00 local time",Estimates are updated regularly
Iceland,856,11 March 2020,"Status report, Department of civil protection and emergency","Official data published in Icelandic every day, periodically in English here",
Norway,"8,000",12 March 2020,Statement from Director of the Institute of Public Health,12 March,"The estimate is based on comments provided by Doctor Camilla Stoltenberg, Director of the Institute of Public Health, to a news agency."
Slovenia,"3,058",12 March 2020,"Statement from Nina Pirnat, National Institute of Public Health","12 March, 9.00 local time","The estimate is based on comments provided by Nina Pirnat, National Institute of Public Health."
Austria,"6,582",13 March 2020,"Update Report, Austrian Federal Ministry for Social Affairs, Health, Care and Consumer Protection","13 March, 8.00 local time","Estimates are updated every day, often more than once per day"
Canada – Alberta,"4,288",12 March 2020,"Update Report, Alberta Government, COVID-19 coronavirus info for Albertans","12 March, 15.30",Estimates are updated regularly
Canada – British Columbia,"2,008",6 March 2020,"Update Report, BC Centre for Disease Control",12 March,"The update states: “2,008 individuals and 2,803 samples tested as of March 6, 2020.”"
Croatia,344,9 March 2020,Statement from Health Minister Willi Beros,9 March,The estimate is based on comments provided by Health Minister Willi Beros to a newspaper.
Thailand,"5,232",12 March 2020,"Update Report, Department of Disease Control",12 March,
Poland,"2,234",12 March 2020,Official social media post from Ministry of Health,12 March,
India,"4,058",6 March 2020,"Statement from Raman Gangakhedkar, head of Epidemiology and Communicable Diseases-I (ECD-I)","8 March, 21.20","The estimate is based on comments provided by Raman Gangakhedkar, head of Epidemiology and Communicable Diseases-I (ECD-I), to the newspaper The Economic Times India"
Palestine,"1,609",11 March 2020,Official social media post from Ministry of Health,11 March,"The estimate is provided as a PDF statement. Wikipedia mentions the reported figures, but we could not translate the content to confirm the source."
Malta,550,9 March 2020,News report without quoted source,9 March,The estimate is provided without further source. We could not confirm it in any other official statement
Switzerland,"4,000",7 March 2020,News report without quoted source,7 March,The estimate is provided without further source. We could not confirm it in any other official statement
Israel,"3,872",9 March 2020,Official social media post from Ministry of Health,9 March,"The estimate is provided as an image posted in social media. Wikipedia mentions the reported figures, but we could not translate the content to confirm the source."
Panama,121,10 March 2020,News report without quoted source,"10 March, 19.00 local time",The estimate is provided without further source. We could not confirm it in any other official statement
